;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
701318;Prispevek delojemalca za zdravstveno zavarovanje od nadomestil za čas brezposelnosti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701319;Prispevek delojemalca za zaposlovanje od nadomestil iz invalidskega zavarovanja, ki jih Zavod za pokojninsko in invalidsko zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;0;972;-972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701320;Prispevek delojemalca za zdravstveno zavarovanje od nadomestil iz invalidskega zavarovanja, ki jih Zavod za pokojninsko in invalidsko zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701321;Prispevek delojemalca za starševsko varstvo od nadomestil iz invalidskega zavarovanja, ki ga Zavod za pokojninsko in invalidsko zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701322;Prispevek delojemalca za zdravstveno zavarovanje vojaških obveznikov, ki služijo vojaški rok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701323;Prispevek za ZZ za poškodbe pri delu in poklicne bolezni iz drugih pravnih razmerij;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701324;Prispevek za ZZ oseb, ki plačujejo prispevek v pavšalu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701325;Prispevek za ZZ oseb, ki niso zavarovane iz drugih naslovov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701326;Prispevek za ZZ od drugih oseb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701327;Prispevek za pokojninsko in invalidsko zavarovanje za prostovoljno vključitev v obvezno zavarovanje;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701328;Prispevek za pokojninsko in invalidsko zavarovanje iz osebnega dopolnilnega dela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
702;Davki na plačilno listo in delovno silo;191560219;231246900;284053676;347892630;391824502;448272759;491053278;526192981;472934482;418141207;258037498;28489694;28076033;29242533;25622525;23410880;20199609;19702062;19792019;21341891;21647647;16592005
;;;;;;;;;;;;;;;;;;;;;;;
7020;Davek na izplačane plače;175505012;214714992;266438318;329792500;371364627;429678681;472329670;505838882;449599960;391540626;229651092;1303297;0;0;0;0;0;0;0;0;0;0
702000;Davek na izplačane plače;175353872;214532884;266254096;329484764;370925283;429060785;471901764;505757180;449748034;391403795;229551518;1241267;0;0;0;0;0;0;0;0;0;0
702001;Zamudne obresti od davka na izplačane plače;151139;182108;184222;307736;439344;617895;427906;81702;-148074;136832;99574;62030;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7021;Posebni davek na določene prejemke;16055208;16531908;17615358;18100130;20459875;18594078;18723609;20354099;23334522;26600581;28386406;27186397;28076033;29242533;25622525;23410880;20199609;19702062;19792019;21341891;21647647;16592005
702100;Posebni davek na določene prejemke (na pogodbeno delo);15897004;16371578;17502128;17938158;20010381;18386422;18578763;20373686;23709111;26687690;28442183;27337329;28050543;29209868;25590352;23400542;20184349;19647490;19781894;21330943;21637528;16561416
702101;Zamudne obresti od posebnega davka na določene prejemke;158204;160330;113229;161972;449494;207656;144845;-19587;-374589;-87109;-55777;-150932;25490;32665;32173;10338;15260;54572;10124;10948;10119;30589
;;;;;;;;;;;;;;;;;;;;;;;
