;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
710001;Prihodki od udeležbe na dobičku in dividend javnih skladov in javnih finančnih institucij;24165790;0;0;1986718;22172257;61498906;233065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710002;Prihodki iz naslova presežka prihodkov nad odhodki Banke Slovenije;0;1580650;451853;12345822;8792373;16932194;3149019;11819060;16107703;10406002;11619167;0;25891385;9545959;4276154;98932861;37792558;60000000;40500000;42975000;17679794;15861391
710003;Prihodki iz naslova presežka prihodkov nad odhodki posrednih uporabnikov proračunov;0;0;0;0;0;0;0;0;2874603;325071;92572;241981;244975;85230;105557;1028554;465988;504119;4189302;295213;0;202368
710004;Prihodki od udeležbe na dobičku in dividend nefinančnih družb;0;0;0;0;0;0;0;94509810;58814117;70733508;83712170;46255016;62742027;40092581;143237539;92387146;99326019;123273645;102442339;61000768;131652580;55110222
710005;Prihodki od udeležbe na dobičku in dividend finančnih družb;0;0;0;0;0;0;0;7840667;6877540;25047335;17705622;3138414;92;865918;1000;2368;2088;3070;47267979;137167593;318619226;122926838
;;;;;;;;;;;;;;;;;;;;;;;
7101;Prihodki od udeležbe na dobičku in dividend drugih podjetij in finančnih institucij;0;21892373;16077534;19450366;27989580;28237369;31879826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710100;Prihodki od udeležbe na dobičku in dividend drugih podjetij;0;11484776;7868743;10347159;12696326;20554004;21842499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710101;Prihodki od udeležbe na dobičku in dividend finančnih institucij;0;10407597;8208791;9103207;15293254;7683364;10037327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7102;Prihodki od obresti;12369940;18215079;25961695;22391342;23901702;53466882;38129675;31992623;20595666;11096319;30507021;14782588;45407128;31380440;31306375;30060964;40877828;16655417;31117688;36334249;10313546;3873723
710200;Prihodki od obresti od sredstev na vpogled;149896;1397999;7946793;795242;1118674;1484347;1013559;934775;1207913;1164666;2149124;382469;168467;355876;167412;56764;67310;5466;729;4023;4315;2526
710201;Prihodki od obresti od vezanih depozitov iz nenamenskih sredstev;2405218;2317326;778687;457669;1356359;6397558;4031751;3194521;5156107;7002142;26555123;13609090;37750233;18878851;25435333;5709039;19377765;2492749;1076236;0;0;0
710202;Prihodki od obresti od vezanih depozitov iz stalne rezerve - redna sredstva;0;3585839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710203;Prihodki od obresti od vezanih depozitov iz stalne rezerve - druga sredstva;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710204;Prihodki od obresti od vezanih depozitov iz sredstev DARS;0;10639415;403;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
710205;Prihodki od obresti od vezanih depozitov iz ostalih namenskih sredstev;0;519;0;0;7862237;32830243;21671451;5717597;0;11115;8170;55737;0;1539;232;0;0;0;0;598;20;0
710206;Prihodki od obresti od deviznih depozitov iz nenamenskih sredstev;5684791;0;0;8007203;3645704;866963;1181170;2092961;2965865;2329443;1279176;217567;179655;208621;231311;124306;58298;116258;263832;528920;979028;912215
710207;Prihodki od obresti od deviznih depozitov iz ostalih namenskih sredstev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710208;Prihodki od obresti od danih posojil - javnim podjetjem;368365;23304;0;0;40407;26503;11567;0;1067;1900;938;233;0;0;0;0;0;0;0;0;0;0
710209;Prihodki od obresti od danih posojil - finančnim institucijam;0;0;13523135;7926373;1087099;699051;606563;613798;511657;54;71;55;41;28;14;0;0;0;0;0;0;0
710210;Prihodki od obresti od danih posojil - privatnim podjetjem in zasebnikom;0;250676;263192;214722;100941;647691;147647;246858;395836;386144;407930;351458;427293;516114;305915;203982;83861;475932;150193;139722;0;0
710211;Prihodki od obresti od danih posojil - občanom;0;0;0;145860;0;412;388;400;280;244;3131;1645;1162;758;468;223;45;2;0;0;0;0
710212;Prihodki od obresti od danih posojil - drugim javnim skladom in agencijam;0;0;0;0;0;0;0;0;0;192;176;0;0;0;0;0;0;0;0;0;0;0
710213;Prihodki od obresti od danih posojil - drugim ravnem države;0;0;181;100363;165617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710214;Prihodki od obresti od danih posojil v tujino;0;0;0;0;0;0;0;0;0;0;0;0;1030657;8659192;3658508;1221292;2251492;1827789;1179752;917278;924134;715753
710215;Drugi prihodki od obresti;3761671;0;3449305;3106655;4082566;4830189;9133625;19191713;10356940;200421;103152;163914;5848716;2757728;1505714;22744191;19036968;11736407;28446780;34743708;8406050;2243230
710216;Prihodki od obresti od danih posojil - državnemu proračunu;0;0;0;0;0;0;0;0;0;0;0;420;905;1733;1468;1167;2089;814;165;0;0;0
710217;Obresti od depozitov pri Banki Slovenije iz naslova izdanih zakladnih menic;0;0;0;1637256;4442099;5683926;331955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710218;Prihodki od obresti danih posojil subjektom, vključenim v enotno upravljanje sredstev sistema EZR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7103;Prihodki od premoženja;19872324;7587369;15975017;144113596;17726330;22307220;39031116;44120074;60394747;51357771;57966688;55077339;52902832;51454382;49317705;140220036;254308574;94755392;96813377;93049112;110556476;86580120
710300;Prihodki iz naslova najemnin za kmetijska zemljišča in gozdove;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454;1110
710301;Prihodki od najemnin za poslovne prostore;0;119869;86332;301149;652252;530276;1359724;1272476;1114968;1285056;2800618;1138423;1082245;1275290;1290204;1216494;1383720;1277080;1178317;1184027;1255179;966558
710302;Prihodki od najemnin za stanovanja;0;508694;490160;648987;1689401;3675072;4737549;4265566;4568162;4288618;4411087;4223304;3551032;3639516;3635991;3597506;3524401;3441785;3551783;3383759;3418171;2552264
710303;Prihodki od najemnin za opremo;0;0;203;0;10163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5776;1048;241
710304;Prihodki od drugih najemnin;0;125656;38162;643821;38633;16711;1781897;2027841;2343284;2259494;9262784;5246153;5506228;4244835;932674;7281220;4280953;4267484;3735531;6619658;6202390;5384047
710305;Prihodki od zakupnin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
710306;Prihodki iz naslova podeljenih koncesij;19872324;1154876;1212557;123790722;1562294;9290;406449;326234;622604;293028;496967;2586894;1374927;2462223;2612607;13210224;151423526;3650488;10242724;4550816;4346118;3367225
710307;Prihodki iz naslova podeljenih licenčnin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;0
710309;Prihodki iz naslova koncesijskih dajatev od posebnih iger na srečo;0;4095520;12743358;16377525;13541416;16306504;18955483;23139176;25932818;27654877;25870802;24544961;23271702;22322119;20421584;18810789;18431606;18297235;18827204;18876268;19017120;14768821
710310;Zamudne obresti od koncesijskih dajatev od posebnih iger na srečo;0;0;4;6;3119;1317;2411;-929;425;146;178;164;633;-112;1416;681;843;234;208;44;82;45
710311;Prihodki od podeljenih koncesij za rudarsko pravico;0;0;0;0;0;954951;1299013;1403229;1342115;1608337;1760010;1646204;1397443;1171876;1035913;944845;1425689;1376322;1661421;1360146;1649580;1929164
710312;Prihodki od podeljenih koncesij za vodno pravico;0;0;0;0;0;795478;4163424;5557219;4977280;6867185;6496005;9321286;10340100;8589200;8317633;10348690;8206978;10213491;6573034;7798470;8248362;8069380
710313;Prihodki od nadomestila za dodelitev služnostne pravice in ustanovitev stavbne pravice;0;0;0;0;0;0;1506;0;0;0;0;134066;239564;1700068;5435623;8551920;20547059;16876936;13194917;7020473;20438887;12842702
710314;Prihodki od dodatne koncesijske dajatve za občasna in začasna dela študentov in dijakov;0;0;0;0;0;0;6323016;6123981;6146403;6325658;6868237;6235882;6138957;6049366;5634059;19856981;4926539;4869484;4864287;5124421;5178170;3672850
710315;Prihodki od koncesijske dajatve za občasna in začasna dela študentov in dijakov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56033462;38094473;27089744;22037962;23273248;22135493;15465497
710316;Prihodki od dajatve za začasno ali občasno delo upokojencev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357225;2021364;2773109;3333234;3990409;4836168;4213864
710317;Prihodki iz naslova vodne pravice, podeljene z vodnim dovoljenjem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;787;512127;1815983;237701;144792;232676
710318;Prihodki od nadomestil za upravljanje državnih gozdov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13607246;13063008
710399;Drugi prihodki od premoženja;0;1582754;1404241;2351385;229051;17622;645;5281;13346687;775372;0;0;0;0;0;10000;39513;109873;5796772;9623894;77215;50667
;;;;;;;;;;;;;;;;;;;;;;;
711;Takse in pristojbine;48578322;54612946;78989714;82052251;88264572;84636266;76852494;65860597;68361644;72058392;72304441;78540411;82179732;76528095;78773024;72159123;70922881;67199641;64338800;65964305;64925437;48217035
;;;;;;;;;;;;;;;;;;;;;;;
7110;Sodne takse;25917318;29704266;30748353;33429227;29243917;31291395;31939659;32546741;34581270;35788372;36041375;45717536;50857997;43489829;40461043;39636417;41130998;36992780;33239643;31843153;29976803;20986369
711000;Sodne takse od pravnih in fizičnih oseb ter zasebnikov;25917318;29704266;30748353;33429227;29243917;31291395;31939659;32546741;34581270;35788372;36041375;45717536;50857997;43489829;40461043;39636417;41130998;36992780;33239643;31843153;29976803;20986369
;;;;;;;;;;;;;;;;;;;;;;;
7111;Upravne takse in pristojbine;22661004;24908680;48241360;48623025;59020655;53344871;44912835;33313856;33780374;36270020;36263066;32822874;31321735;33038266;38311981;32522706;29791883;30206861;31099157;34121153;34948634;27230666
711100;Upravne takse za dokumente iz upravnih dejanj in drugo;0;0;19862013;14189196;15119674;9924319;9021120;6920183;6607527;5906772;3564243;3872767;3917045;4560652;4410725;4341192;4544397;4198985;4924802;5291472;5746472;4333432
711101;Upravne takse s področja notranjih in splošnih upravnih zadev;0;0;4233788;8187104;13261038;10306525;9975154;8953562;10815628;13030244;13939372;11965304;10798798;11504354;16413865;11268538;9701771;9003519;9209776;10369060;10957097;9232392
711102;Takse s področja trošarin in davka na dodano vrednost;0;0;6801743;7346988;7561814;7348822;3036074;22952;16116;28327;11321;17464;18994;18191;18845;16324;12380;23076;17841;19206;11762;5209
711103;Konzularne takse;0;0;3012835;2912982;4570664;3521063;3467320;3976194;3598993;3874488;4363786;2958204;1818917;1949975;2350254;1818170;1578281;1607552;1558061;1820086;1798662;1349547
711104;Pristojbina za varstvo industrijske lastnine;0;0;833527;785817;893666;980605;1174190;1151968;1478383;1910879;2225864;2160195;2353945;2469600;2515925;2631087;2646493;2716806;2681734;3037337;3181321;2347208
711105;Tarifa za varnost plovbe;0;0;1655748;1979841;1947784;2199574;2134682;2360879;2706592;3049111;3315127;3070851;3166330;3591656;4010527;3508459;3684920;4830586;4917492;5027505;4813048;4086084
711106;Pristojbina za pregled zrakoplova;0;0;17308;17057;16343;16425;16835;17146;16763;20520;20890;14942;9533;10633;-54;0;0;0;0;0;0;0
711107;Upravne takse za zdravstvene preglede rastlin v notranjem prometu (taršt 52 iz ZUT);0;0;2681;1088;439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711108;Državne upravne takse za preglede pošiljk vina in drugih proizvodov iz grozdja in vina v zunanjetrgovinskem prometu;0;0;76039;127786;283560;484230;385756;478559;720830;793574;822964;909671;800318;749257;1247604;0;0;0;0;0;0;0
711109;Pristojbina za veterinarsko spričevalo;0;0;1539360;1412878;1724580;1475040;577406;267683;26797;6;1034;2135;0;0;3;2;0;0;0;0;0;0
711110;Pristojbina za veterinarsko potrdilo;0;0;2587625;1118772;770100;1553253;249658;180438;23129;5509;542;0;0;0;0;0;0;0;0;0;0;0
711111;Pristojbina za veterinarski pregled;0;0;2866159;5049555;5109955;5707463;5364463;5256393;1270619;1538939;2962866;3041457;3603611;3125214;3147891;3219927;2556848;2433816;2397712;2677960;2495903;1918158
711112;Upravne takse za zdravstvena spričevala za fitokarantenske preglede na meji (taršt 59 iz ZUT);0;0;712790;638165;150732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711113;Pristojbine za preverjanje strokovne usposobljenosti letalskega osebja;0;0;33939;40278;42330;46904;45117;58412;67922;73260;92979;76956;61191;67412;122;-125;13;-127;153;0;0;0
711114;Upravne takse s področja homologacije vozil;0;0;582789;558820;637638;698188;635733;152371;179893;280590;165205;127210;93004;56715;51546;43426;54155;69389;79556;79502;57175;28780
711115;Upravne takse za pridobitev in vzdrževanje akreditacije;0;0;96018;24185;1459;610;903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711116;Pristojbina od zavarovalnih premij in drugih zavarovalnih poslov;0;0;245322;1494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711117;Pristojbina za uporabo radijskih frekvenc;0;0;1180653;1382231;3849768;5391333;5725545;334195;850;92775;0;18429;50;0;24003;187;0;0;-127;0;0;0
711118;Pristojbine za varstvo novih sort rastlin in vzdrževanje žlahtniteljske pravice rastlin;0;0;1331;1509;1835;2270;1168;6995;8922;7952;9215;10778;11098;12050;12370;12641;12371;10913;11023;10182;15039;3513
711119;Upravne takse za preskuse in odobritve tipa merila, ter v postopku registracije znaka proizvajalca predmetov iz plemenitih kovin;0;0;1113539;1112545;919773;965851;554364;421737;274438;242630;211490;210185;180415;143808;159677;183263;167748;175997;204190;210520;223540;177689
711120;Upravne takse s področja prometa in zvez;0;0;18376;45706;132730;306696;198612;192616;211456;207026;273333;318339;251249;265367;278068;309114;287685;279607;391311;470450;501308;376332
711121;Gradbene upravne takse;0;0;699928;1634178;1865301;2007327;1951867;2001216;2214962;2365366;2338552;1953372;1745210;1824120;1719101;1647056;1503229;1513916;1637796;1806331;1866520;1266632
711122;Upravne takse s področja prometa s kemikalijami;0;0;4574;4736;50537;116048;62435;55322;45748;38874;37829;29623;35565;28167;25828;36993;42159;70135;41221;21442;38346;27808
711123;Upravne takse na področju varstva konkurence;0;0;0;0;20421;55652;53843;36605;38408;51035;28926;10210;19656;66241;40523;50000;44000;60005;70000;62000;84013;50000
711124;Upravne takse na področju pravic intelektualne lastnine;0;0;0;4036;9203;4479;4842;4442;8691;11806;10629;7125;14157;14013;17028;12947;12367;18621;13432;12373;13819;17869
711125;Upravna taksa na področju varstva pri delu;0;0;39066;40273;20113;17139;12716;80897;29185;9833;12826;11689;11290;6965;40142;55127;45056;18394;20206;16526;8353;16127
711126;Upravna taksa za ugotovitev zdravstvene neoporečnosti živil in predmetov splošne rabe;0;0;0;0;0;0;0;0;0;0;21668;49790;26583;20022;23447;16457;10783;10258;12908;17375;17282;14919
711127;Upravtakse za veterincertifikate (tar št 59 iz ZUT);0;0;5706;5803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711128;Pristojbine za razširjanje programskih vsebin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711129;Taksa za postopek revizije javnega naročanja;0;0;0;0;59199;197299;247480;383075;527613;694502;1282917;1929220;2333450;2497816;1739054;2399320;1872834;1842533;1780392;1798099;1530882;928804
711130;Pristojbine za športni in rekreacijski ribolov na morju;0;0;0;0;0;17756;14966;0;0;0;0;46276;46304;45720;47032;45628;36968;40396;36044;39340;23148;27828
711131;Pristojbina za izvajanje veterinarsko-higienske službe;0;0;0;0;0;0;0;0;44978;268833;133609;6653;1617;8788;18001;5187;63705;38537;35593;49866;38512;35060
711132;Pristojbina za veterinarski nadzor;0;0;0;0;0;0;0;0;1362624;304593;5351;0;360;0;253;0;0;0;0;0;0;0
711133;Pristojbina za veterinarski pregled pri trgovanju in izvozu;0;0;0;0;0;0;0;0;574056;81677;130;1516;1223;0;200;152;0;0;0;0;0;0
711134;Pristojbina za veterinarski pregled pri uvozu;0;0;0;0;0;0;0;0;471939;816199;186650;2512;780;0;0;0;0;0;0;0;0;0
711135;Pristojbina za monitoring;0;0;0;0;0;0;0;0;437313;564683;223749;0;1040;1531;0;7867;0;0;0;0;0;0
711136;Pristojbine na področju zdravstvenega varstva rastlin in registracije fitofarmacevtskih sredstev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;893767;913577;1243683;1057792;827158;1022124;799158
711137;Zamudne obresti od upravnih taks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;143;265;247;13;5;11
711138;Prispevek za promocijo kmetijskih in živilskih proizvodov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457350;504304;188106
711199;Druge pristojbine;0;0;18503;0;0;0;585;18;0;19;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
712;Globe in druge denarne kazni;22092343;27046132;30369854;31265125;31792360;32857455;33489492;28970120;39276653;43464447;65437321;74693109;74156277;73606579;63863120;69207620;80376299;67351902;64321406;81975710;77161644;68882924
;;;;;;;;;;;;;;;;;;;;;;;
7120;Globe in druge denarne kazni;22092343;27046132;30369854;31265125;31792360;32857455;33489492;28970120;39276653;43464447;65437321;74693109;74156277;73606579;63863120;69207620;80376299;67351902;64321406;81975710;77161644;68882924
712000;Denarne kazni za kazniva dejanja fizičnih in pravnih oseb;1672192;1764915;1877864;1355107;1196619;1564219;1803841;1063663;835810;626677;698389;471066;382858;434206;598941;914184;1499148;1047099;1055570;1001877;1054057;951168
712001;Globe za prekrške;16183363;21434013;24035563;25097123;25769757;25875708;25517111;12475065;15514074;17344896;29977892;34547503;31038619;32141818;28815834;25757816;30574874;31236968;31326813;35290511;36419574;35206903
712003;Druge globe, denarne kazni in odvzem premoženjske koristi s plačilom denarnega zneska;868570;961226;1118804;1041277;721417;807556;922967;10695173;17545417;19245883;27327347;33691478;36905957;34926223;27862623;34723951;37563459;31983494;25736337;38290169;32774963;26426166
712004;Globe za carinske prekrške in kupnine od prodanega blaga;749704;762415;961519;923025;1177542;1006802;726866;856138;699217;603643;500766;0;0;0;0;0;0;0;0;0;0;0
712005;Denarne kazni v upravnih postopkih;107607;145202;279207;300039;222958;207019;301124;247612;162216;370403;1217911;912898;470388;347852;196401;1231909;296487;112082;216098;306106;-130198;336869
712007;Nadomestilo za degradacijo in uzurpacijo prostora;0;0;0;0;0;397486;683411;755739;684384;718967;655303;648318;761982;654629;668995;909834;1325385;1395553;1312841;1151668;1122449;1299572
712008;Povprečnine oziroma sodne takse ter drugi stroški na podlagi zakona o prekrških;46649;31162;40350;52758;69114;88811;81423;648389;1994269;2916341;3309249;3365382;3826723;4446652;4818088;4839656;4677698;4291300;3976415;4553138;5013222;3852063
712009;Povprečnine oziroma sodne takse kazenskega postopka;303839;346387;359711;622975;688377;743562;945300;917917;1226973;1460331;1750464;1056465;769749;655198;902238;830268;4439248;-2714594;697332;1382242;907577;810182
712010;Povprečnine postopka o prekrških;2160420;1600813;1696835;1872821;1946575;2166291;2507448;1310426;614292;177306;0;0;0;0;0;0;0;0;0;0;0;0
712099;Druge povprečnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
713;Prihodki od prodaje blaga in storitev;20252481;17207933;23058933;25142437;18992105;12095086;10991861;10856164;11551345;9996647;10042328;9574366;9109436;9340728;9036342;8923945;8844668;9126522;9187430;8528223;6958212;5450675
;;;;;;;;;;;;;;;;;;;;;;;
7130;Prihodki od prodaje blaga in storitev;20252481;17207933;23058933;25142437;18992105;12095086;10991861;10856164;11551345;9996647;10042328;9574366;9109436;9340728;9036342;8923945;8844668;9126522;9187430;8528223;6958212;5450675
713000;Prihodki od prodaje blaga in storitev;6437095;0;21895353;22087695;16441930;10597029;9178399;6445779;7020365;5620769;5798523;5416319;5395301;5874104;6286304;6281193;6349565;6486841;6205103;5561438;3993569;3239214
713001;Prihodki od prodaje materiala in odpadkov;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
713002;Prihodki obratov družbene prehrane;0;0;1048497;779299;362686;373502;505117;1714052;1606705;1609747;1820885;1978133;1922939;1725587;1460335;1524217;1363341;1434103;1740609;1464615;1340897;973913
713003;Prihodki od počitniške dejavnosti;0;0;22412;27473;149601;265818;307767;837591;908787;937934;1086088;1139608;1171702;1122698;883000;743566;740867;730418;610616;634988;697236;623786
713004;Prihodki od prodanih vstopnic za kulturne, športne in druge prireditve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
713005;Prihodki od vstopnin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
713006;Prihodki od kotizacij za seminarje, posvetovanja, simpozije in druga strokovna srečanja;0;0;17369;14552;51287;17833;37912;1839820;1970681;1822676;1287134;1027196;619220;618339;400542;362384;390894;474987;627802;867181;926509;613762
713008;Prihodki od prodaje pomorskih kart;0;0;0;329;254;228;6;501;1403;1529;141;144;274;0;0;0;0;0;0;0;0;0
713099;Drugi prihodki od prodaje;0;0;75301;2233006;1986348;840676;962660;18421;43404;3993;49556;12967;0;0;6162;12584;0;173;3299;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
714;Drugi nedavčni prihodki;43290506;36463833;42841034;53106581;120650406;87638506;184058707;77381023;58394767;85709307;119896123;82273420;208698142;137579253;146067161;99169105;212524567;122015006;110984182;143531544;128859793;105987965
;;;;;;;;;;;;;;;;;;;;;;;
7140;Drugi prostovoljni prispevki za socialno varnost;0;0;0;0;185;0;0;0;42;553;0;0;0;0;0;0;0;0;0;0;0;0
714000;Dokup pokojninske dobe oseb, ki samostojno opravljajo dejavnost;0;0;0;0;185;0;0;0;0;553;0;0;0;0;0;0;0;0;0;0;0;0
714001;Dokup pokojninske dobe oseb, ki so opravljale kmetijsko dejavnost kot edini ali glavni poklic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714002;Dokup pokojninske dobe - za presežne delavce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714003;Dokup pokojninske dobe - za čas rednega šolanja na višji ali visoki šoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714004;Dokup pokojninske dobe - čas služenja vojaškega roka ali prebitega v vojaški službi, ki ni vštet v pokojninsko dobo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714005;Dokup pokojninske dobe za ugodnejšo odmero pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714006;Prispevek za pokojninsko in invalidsko zavarovanje zavarovancev prostovoljnega zavarovanja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714007;Dokup pokojninske dobe za čas brezposelnosti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714008;Dokup pokojninske dobe za čas nege in varstva otroka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714009;Dokup pokojninske dobe za čas zaposlitve v državi, s katero ni sklenjena konvencija;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714010;Dokupi pokojninske dobe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714099;Drugi prostovoljni prispevki za socialno varnost;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7141;Drugi nedavčni prihodki;43290506;36463833;42841034;53106581;120650220;87638506;184058707;77381023;58394726;85708754;119896123;82273420;208698142;137579253;146067161;99169105;212524567;122015006;110984182;143531544;128859793;105987965
714100;Drugi nedavčni prihodki;0;0;12409834;17097254;17169536;18134157;24299066;26507370;13864856;12100937;17920594;18074681;28277227;60177035;72115524;52253489;85274594;23078158;21142216;17776987;16556357;13051875
714101;Posebni prispevek za obnovo Posočja;0;0;367135;54047;30083;56325;14267;15107;1305;-7142;-2519;0;0;0;0;0;0;0;0;0;0;0
714102;Zamudne obresti od posebnega prispevka za obnovo Posočja;0;0;119345;66269;35144;35107;27759;9526;11772;7040;13990;0;0;0;0;0;0;0;0;0;0;0
714103;Prihodki na podlagi EU zakonodaje in sporazumov o socialnem zavarovanju;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714104;Prihodki iz naslova regresnih zahtevkov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714105;Prihodki od komunalnih prispevkov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714106;Prispevki in doplačila občanov za izvajanje določenih programov tekočega značaja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714107;Prispevki in doplačila občanov za izvajanje določenih programov investicijskega značaja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714108;Sredstva za investicije, pridobljena z občinskimi samoprispevki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714109;Sredstva za investicije, pridobljena s krajevnimi samoprispevki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714110;Zamudne obresti od komunalnih prispevkov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714111;Prihodki od zaračunljivih tiskovin - potnih listin;0;0;0;0;12606936;2842495;1947056;1768473;2075677;3669887;1513381;1511049;1375453;2267943;5555032;1863439;1657882;1485378;1439955;2216617;2271778;2002376
714112;Prihodki od zaračunljivih tiskovin - osebnih izkaznic;0;0;0;0;4654550;1349640;930041;887272;1276995;1900990;1702878;1748476;2927231;3257560;4870178;2192098;1835086;1683536;1953167;2403900;2181226;1841918
714113;Prihodki od zaračunljivih tiskovin - registrskih tablic;0;0;0;0;3181913;3425408;3806534;4244651;3175439;697810;521961;331388;309319;273128;250930;229539;215442;214217;198174;177299;148047;105875
714114;Prihodki od ostalih zaračunljivih tiskovin;0;0;0;0;3028532;1749201;1455266;1204626;935951;778923;843712;1324737;1154519;1426713;1862929;1546676;1271460;1216836;1315883;1455827;1720832;1931113
714115;Prihodki iz naslova zaračunanih stroškov razporejanja javnofinančnih prihodkov;0;0;0;0;0;1195633;2433942;2602742;2754037;3056547;3375036;3501130;3576885;3627045;3573923;578402;0;0;0;0;0;0
714116;Nadomestila zaradi omejene rabe prostora na območju jedrskega objekta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714117;Prihodki storitev v postopkih homologacije in posamične odobritve vozil;0;0;0;0;0;0;0;375509;438497;480530;448141;372801;423339;438796;393338;420362;505911;534359;600187;674278;673793;583838
714118;Prispevek za vzpodbujanje zaposlovanja invalidov po ZZRZI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714119;Prihodki iz naslova nominalne vrednosti eurokovancev danih v obtok;0;0;0;0;0;0;0;0;0;0;0;3501679;7969468;7071818;3870605;3822847;3038821;5451174;11299530;13340137;8078355;9656045
714120;Prihodki iz naslova odškodnin iz sklenjenih zavarovanj;0;0;0;0;0;0;0;0;0;0;0;0;1058040;908390;890365;1925822;7168453;8414233;1313988;1852249;4066589;1664181
714121;Prihodki iz naslova vnovčenih instrumentov za zavarovanje izvedbe posla;0;0;0;0;0;0;0;0;0;0;0;0;2196951;8644077;5573197;534534;475855;790970;603039;1169691;587958;-23708
